bid_seq,Sno,name,country,isindian,speciality,Batting_handedness,Bowling_handedness,team_name,bid_amt,base_price,est_auc_prc,Status
422,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",200,200,NULL,Unsold
423,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"RAJASTHAN ROYALS",220,200,NULL,Unsold
424,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",240,200,NULL,Unsold
425,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"RAJASTHAN ROYALS",260,200,NULL,Unsold
426,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",280,200,NULL,Unsold
427,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"RAJASTHAN ROYALS",300,200,NULL,Unsold
428,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",320,200,NULL,Unsold
429,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"RAJASTHAN ROYALS",340,200,NULL,Unsold
430,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"RAJASTHAN ROYALS",350,200,NULL,Unsold
432,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",360,200,NULL,Unsold
433,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",370,200,NULL,Unsold
434,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",380,200,NULL,Unsold
435,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",390,200,NULL,Unsold
436,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",400,200,NULL,Unsold
438,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"MUMBAI INDIANS",420,200,NULL,Unsold
439,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"KINGS XI PUNJAB",440,200,NULL,Unsold
440,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"MUMBAI INDIANS",460,200,NULL,Unsold
441,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"MUMBAI INDIANS",480,200,NULL,Unsold
442,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"MUMBAI INDIANS",500,200,NULL,Unsold
443,2,"Shikhar Dhawan",India,Indian,"Opening Batsman",LHB,-,"SUNRISERS HYDERABAD",520,200,NULL,Sold
